Command,Pay,Player,"Sunday, December 15, 2019 at 2:19:46 PM Australian Eastern Daylight Time","Biataria",10000,money,$,"Biataria",10000,money,$,"world",-588,90,-12,
Sign,Buy,Interact,"Tuesday, July 5, 2022 at 6:26:27 PM Australian Eastern Standard Time","ChupaChupChum",32,money,$,"ChupaChupChum",8,OAK_LOG,,"world",-15,65,-18,1416.1270000000000011,
Sign,Buy,Interact,"Tuesday, July 5, 2022 at 6:26:29 PM Australian Eastern Standard Time","ChupaChupChum",32,money,$,"ChupaChupChum",8,OAK_LOG,,"world",-15,65,-18,1384.1270000000000011,
Sign,Buy,Interact,"Tuesday, July 5, 2022 at 6:26:30 PM Australian Eastern Standard Time","ChupaChupChum",32,money,$,"ChupaChupChum",8,OAK_LOG,,"world",-15,65,-18,1352.1270000000000011,
Sign,Buy,Interact,"Tuesday, July 5, 2022 at 6:26:31 PM Australian Eastern Standard Time","ChupaChupChum",32,money,$,"ChupaChupChum",8,OAK_LOG,,"world",-15,65,-18,1320.1270000000000011,
Sign,Buy,Interact,"Tuesday, July 5, 2022 at 6:27:14 PM Australian Eastern Standard Time","ChupaChupChum",32,money,$,"ChupaChupChum",8,SPRUCE_LOG,,"world",-15,65,-17,1288.1270000000000011,
Sign,Buy,Interact,"Tuesday, July 5, 2022 at 6:27:15 PM Australian Eastern Standard Time","ChupaChupChum",32,money,$,"ChupaChupChum",8,ACACIA_LOG,,"world",-15,65,-16,1256.1270000000000011,
Sign,Buy,Interact,"Tuesday, July 5, 2022 at 6:27:33 PM Australian Eastern Standard Time","ChupaChupChum",32,money,$,"ChupaChupChum",8,JUNGLE_LOG,,"world",-15,64,-18,1224.1270000000000011,
Sign,Buy,Interact,"Tuesday, July 5, 2022 at 6:29:36 PM Australian Eastern Standard Time","ChupaChupChum",32,money,$,"ChupaChupChum",8,DARK_OAK_LOG,,"world",-15,64,-16,1192.1270000000000011,
Sign,Buy,Interact,"Tuesday, July 5, 2022 at 6:29:38 PM Australian Eastern Standard Time","ChupaChupChum",32,money,$,"ChupaChupChum",8,ACACIA_LOG,,"world",-15,64,-17,1160.1270000000000011,
Sign,Buy,Interact,"Tuesday, July 5, 2022 at 10:15:33 PM Australian Eastern Standard Time","ChupaChupChum",22,money,$,"ChupaChupChum",1,SHEARS,,"world",-21,64,-41,1459.8900000000000119,
Sign,Buy,Interact,"Tuesday, July 5, 2022 at 11:07:23 PM Australian Eastern Standard Time","ChupaChupChum",24,money,$,"ChupaChupChum",8,BEEF,,"world",-15,65,-26,1435.8900000000000119,
Sign,Buy,Interact,"Wednesday, July 6, 2022 at 11:04:19 AM Australian Eastern Standard Time","ChupaChupChum",16,money,$,"ChupaChupChum",8,WHEAT,,"world",-31,65,-41,1731.6800000000000119,
Sign,Buy,Interact,"Wednesday, July 6, 2022 at 11:04:20 AM Australian Eastern Standard Time","ChupaChupChum",32,money,$,"ChupaChupChum",8,CARROT,,"world",-30,65,-41,1699.6800000000000119,
Sign,Buy,Interact,"Wednesday, July 6, 2022 at 11:04:21 AM Australian Eastern Standard Time","ChupaChupChum",32,money,$,"ChupaChupChum",8,POTATO,,"world",-29,65,-41,1667.6800000000000119,
Sign,Buy,Interact,"Wednesday, July 6, 2022 at 11:04:35 AM Australian Eastern Standard Time","ChupaChupChum",32,money,$,"ChupaChupChum",8,CARROT,,"world",-30,65,-41,1635.6800000000000119,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 11:27:13 AM Australian Eastern Standard Time","ChupaChupChum",34,money,$,"ChupaChupChum",4,COOKED_RABBIT,,"world",-15,64,-25,1585.383700000000013,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 11:27:14 AM Australian Eastern Standard Time","ChupaChupChum",34,money,$,"ChupaChupChum",4,COOKED_RABBIT,,"world",-15,64,-25,1551.383700000000013,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 11:27:15 AM Australian Eastern Standard Time","ChupaChupChum",34,money,$,"ChupaChupChum",4,COOKED_RABBIT,,"world",-15,64,-25,1517.383700000000013,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 11:27:33 AM Australian Eastern Standard Time","ChupaChupChum",50,money,$,"ChupaChupChum",1,IRON_HOE,,"world",-22,64,-41,1467.383700000000013,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 11:27:35 AM Australian Eastern Standard Time","ChupaChupChum",65,money,$,"ChupaChupChum",1,IRON_AXE,,"world",-21,65,-41,1402.383700000000013,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 11:27:37 AM Australian Eastern Standard Time","ChupaChupChum",65,money,$,"ChupaChupChum",1,IRON_PICKAXE,,"world",-22,65,-41,1337.383700000000013,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 11:27:40 AM Australian Eastern Standard Time","ChupaChupChum",30,money,$,"ChupaChupChum",1,SHEARS,,"world",-21,64,-41,1307.383700000000013,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 11:54:55 AM Australian Eastern Standard Time","ChupaChupChum",44,money,$,"ChupaChupChum",4,BEEF,,"world",-15,65,-26,1941.0476999999999920,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 11:54:56 AM Australian Eastern Standard Time","ChupaChupChum",44,money,$,"ChupaChupChum",4,BEEF,,"world",-15,65,-26,1897.0476999999999920,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 11:54:56 AM Australian Eastern Standard Time","ChupaChupChum",44,money,$,"ChupaChupChum",4,BEEF,,"world",-15,65,-26,1853.0476999999999920,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 11:54:56 AM Australian Eastern Standard Time","ChupaChupChum",44,money,$,"ChupaChupChum",4,BEEF,,"world",-15,65,-26,1809.0476999999999920,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 11:54:57 AM Australian Eastern Standard Time","ChupaChupChum",44,money,$,"ChupaChupChum",4,BEEF,,"world",-15,65,-26,1765.0476999999999920,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 11:55:18 AM Australian Eastern Standard Time","ChupaChupChum",32,money,$,"ChupaChupChum",8,POTATO,,"world",-29,65,-41,1733.0476999999999920,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 11:55:19 AM Australian Eastern Standard Time","ChupaChupChum",32,money,$,"ChupaChupChum",8,POTATO,,"world",-29,65,-41,1701.0476999999999920,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 11:55:29 AM Australian Eastern Standard Time","ChupaChupChum",52,money,$,"ChupaChupChum",4,COOKED_PORKCHOP,,"world",-15,65,-25,1649.0476999999999920,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 11:55:29 AM Australian Eastern Standard Time","ChupaChupChum",52,money,$,"ChupaChupChum",4,COOKED_PORKCHOP,,"world",-15,65,-25,1597.0476999999999920,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 11:55:30 AM Australian Eastern Standard Time","ChupaChupChum",52,money,$,"ChupaChupChum",4,COOKED_PORKCHOP,,"world",-15,65,-25,1545.0476999999999920,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 11:55:30 AM Australian Eastern Standard Time","ChupaChupChum",52,money,$,"ChupaChupChum",4,COOKED_PORKCHOP,,"world",-15,65,-25,1493.0476999999999920,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:19 PM Australian Eastern Standard Time","ChupaChupChum",64,money,$,"ChupaChupChum",8,OAK_LOG,,"world",-15,65,-18,1602.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:20 PM Australian Eastern Standard Time","ChupaChupChum",64,money,$,"ChupaChupChum",8,OAK_LOG,,"world",-15,65,-18,1538.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:20 PM Australian Eastern Standard Time","ChupaChupChum",64,money,$,"ChupaChupChum",8,OAK_LOG,,"world",-15,65,-18,1474.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:21 PM Australian Eastern Standard Time","ChupaChupChum",64,money,$,"ChupaChupChum",8,OAK_LOG,,"world",-15,65,-18,1410.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:21 PM Australian Eastern Standard Time","ChupaChupChum",64,money,$,"ChupaChupChum",8,OAK_LOG,,"world",-15,65,-18,1346.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:22 PM Australian Eastern Standard Time","ChupaChupChum",64,money,$,"ChupaChupChum",8,OAK_LOG,,"world",-15,65,-18,1282.80709999999998615,
